Employee_ID,Name,Age,Gender,City,Process_Country,Department,Process_Type,Shift
BPO10001,Kristine Vincent,21,Female,Noida,USA,Customer Support,Outbound Voice,Day Shift
BPO10002,Renee Mclaughlin,39,Female,Pune,USA,Flight Reservations,Inbound Voice,Night Shift (US)
BPO10003,David Hill,37,Male,Noida,USA,Refunds & Cancellations,Email Support,Night Shift (US)
BPO10004,Dennis Carter,39,Female,Pune,UK,Visa Processing,Email Support,Night Shift (UK)
BPO10005,Gregory Evans-Bull,25,Male,Mumbai,UK,Hotel Booking,Inbound Voice,Rotational
BPO10006,Elizabeth Mcdowell,32,Female,Hyderabad,USA,Flight Reservations,Email Support,Day Shift
BPO10007,Ms Gail Kelly,23,Female,Mumbai,UK,Customer Support,Inbound Voice,Day Shift
BPO10008,Theresa Robles,45,Female,Bangalore,USA,Customer Support,Inbound Voice,Rotational
BPO10009,Dr Katy Frost,35,Female,Gurgaon,UK,Cruise Booking,Chat Support,Night Shift (US)
BPO10010,Ms Marilyn Thomson,43,Male,Gurgaon,UK,Refunds & Cancellations,Outbound Voice,Night Shift (US)
BPO10011,Andrew James,33,Female,Noida,UK,Cruise Booking,Inbound Voice,Night Shift (US)
BPO10012,Robert Myers,46,Female,Chennai,USA,Travel Insurance,Inbound Voice,Night Shift (US)
BPO10013,Dr Jennifer Donnelly,27,Female,Chennai,UK,Corporate Travel Desk,Outbound Voice,Night Shift (UK)
BPO10014,Brian Phillips,28,Female,Chennai,USA,Holiday Packages,Chat Support,Night Shift (US)
BPO10015,Tonya Preston,37,Female,Bangalore,USA,Flight Reservations,Inbound Voice,Night Shift (US)
BPO10016,Jennifer Evans,46,Female,Bangalore,USA,Holiday Packages,Email Support,Rotational
BPO10017,Miss Lydia Johnson,38,Male,Bangalore,UK,Refunds & Cancellations,Chat Support,Night Shift (UK)
BPO10018,Philip Smith,30,Female,Gurgaon,USA,Corporate Travel Desk,Inbound Voice,Night Shift (UK)
BPO10019,Nicholas Flores,37,Male,Hyderabad,USA,Refunds & Cancellations,Blended,Night Shift (US)
BPO10020,Thomas Green,32,Male,Pune,USA,Cruise Booking,Email Support,Day Shift
BPO10021,Jessica Williams,32,Female,Noida,USA,Flight Reservations,Outbound Voice,Day Shift
BPO10022,Ruth Smith,44,Female,Bangalore,USA,Refunds & Cancellations,Outbound Voice,Night Shift (US)
BPO10023,Billy Grant,38,Male,Hyderabad,UK,Refunds & Cancellations,Blended,Rotational
BPO10024,Sara Holland,38,Male,Hyderabad,USA,Holiday Packages,Chat Support,Rotational
BPO10025,Leonard Walton,24,Male,Noida,UK,Hotel Booking,Chat Support,Day Shift
BPO10026,Kevin Gould,39,Male,Pune,USA,Hotel Booking,Inbound Voice,Night Shift (US)
BPO10027,Amanda Vaughn,22,Female,Bangalore,USA,Refunds & Cancellations,Outbound Voice,Night Shift (UK)
BPO10028,Josh Smith,27,Male,Kolkata,UK,Customer Support,Email Support,Rotational
